idPergunta;texto;ativo
1;Eu ligo para aparência das coisas;s
2;Não tenho dificuldade em cumprir prazos;s
3;A aparência agradável das coisas atrai o meu olhar;s
4;Dou conta do que é mais importante, sempre que necessário;s
5;Não gosto de trabalhar sozinho. Geralmente escolho trabalhar com gente;s
6;Ficaria feliz se meu trabalho ajudasse as pessoas a se sentirem bem;s
7;Tenho habilidade em cálculos;s
8;Sou uma pessoa muito atenta aos detalhes;s
9;Prevenir é mais importante do que remediar;s
10;Encontro solução para os problemas onde os outros costumam não encontrar;s
11;Faço com facilidade trabalhos que exigem habilidades manuais;s
12;Costumo ser uma pessoa muito comunicativa;s
